CVD_Lookback,ADX_Threshold,Stop_Loss,Take_Profit,RR_Ratio,EMA_Filter,SMA_Filter,Use_VWAP,Time_Window,Trailing_Stop,Total_Trades,Win_Rate,Profit_Factor,Total_PnL,Avg_Win,Avg_Loss,Sharpe_Ratio,Max_Drawdown,Max_Consec_Wins,Max_Consec_Losses,Long_Trades,Long_Win_Rate,Short_Trades,Short_Win_Rate,Total_Bars,Execution_Time_Ms
5,0,10,20,1:2.00,0,0,false,Morning,false,110,33.64,0.95,-1712.5,914.73,-487.09,-0.57,11.88,7,11,47,27.66,63,38.1,16610,2455
5,0,10,20,1:2.00,0,0,false,FullDay,false,116,33.62,0.97,-1052.5,938.21,-488.86,-0.3,11.44,7,8,44,29.55,72,36.11,21390,2719
5,0,10,20,1:2.00,21,0,false,Morning,false,109,33.94,0.96,-1447.5,908.31,-486.88,-0.47,11.39,7,11,46,28.26,63,38.1,16610,2430
5,0,10,20,1:2.00,21,0,false,FullDay,false,116,33.62,0.97,-1290,932.12,-488.86,-0.39,11.48,7,8,45,28.89,71,36.62,21390,2771
5,0,10,25,1:2.50,0,0,false,Morning,false,117,27.35,0.84,-6842.5,1096.72,-493.38,-2.19,19.08,6,12,54,25.93,63,28.57,16610,2357
5,0,10,25,1:2.50,0,0,false,FullDay,false,122,28.69,0.93,-2967.5,1144.29,-494.45,-0.82,17.7,6,9,52,23.08,70,32.86,21390,2910
5,0,10,25,1:2.50,21,0,false,Morning,false,118,27.97,0.86,-5832.5,1094.09,-493.38,-1.84,17.83,6,12,54,25.93,64,29.69,16610,2491
5,0,10,25,1:2.50,21,0,false,FullDay,false,121,28.93,0.94,-2702.5,1137.5,-494.36,-0.74,17.2,6,9,51,23.53,70,32.86,21390,2931
5,0,12,18,1:1.50,0,0,false,Morning,false,130,42.31,1.07,3187.5,854.09,-583.83,1.24,8.72,7,9,54,35.19,76,47.37,16610,2538
5,0,12,18,1:1.50,0,0,false,FullDay,false,136,39.71,0.96,-2127.5,843.33,-581.31,-0.61,12.53,7,7,54,33.33,82,43.9,21390,3008
5,0,12,18,1:1.50,21,0,false,Morning,false,129,42.64,1.09,3790,854.09,-583.58,1.45,8.13,7,9,54,35.19,75,48,16610,2588
5,0,12,18,1:1.50,21,0,false,FullDay,false,128,41.41,1,-107.5,825.8,-585,0.08,11.64,7,7,53,33.96,75,46.67,21390,2954
5,25,10,20,1:2.00,0,0,false,Morning,false,95,27.37,0.67,-11125,849.42,-481.3,-5.15,13.48,2,12,44,34.09,51,21.57,16610,3196
